gmap_id,review_count,review_text_count,response_count
0x14e01eb3852caf59:0x381f9a958435f502,68,29,0
0x14e036ddeb07f8e7:0x52211982ce605a81,68,27,0
0x14e177e66ec01f79:0x11d08fd54eebed7e,128,113,43
0x14e19dbfedc0c44b:0xe507b98095e6f001,102,72,1
0x14e19f36dc395749:0xd860865200fa942d,108,64,1
0x14e1b0df6ee46327:0xca9fad1e9f29736a,78,40,1
0x14e1b14b311075e3:0x9bd0ba6a0d6a2607,58,40,33
0x14e1b419d52202a3:0xd0bc508493666f10,124,79,0
0x14e1b6ae8bff6c6b:0x53fae91c73a61b7e,253,156,0
0x14e38239821de06f:0xb928c3ef28488d4c,98,62,0
0x14e498fe45cca461:0xa49421303a6b3bba,128,55,64
0x14e4ba25cd1a715f:0xf3eff90936c96da9,95,63,0
0x14e4bcd95f3c0451:0x7ccf04478a4d59af,216,151,7
0x1521220f3eca494b:0x375e307c74526eee,53,34,0
0x1525d1950bf2997b:0xbf179502a2524b30,108,56,7
0x1526b6e1fba4ed2b:0xdb21cb04f4c7bfe1,58,26,0
0x1526b71e1975024d:0x576eda07cabcaab5,58,40,1
0x152fb1b6dabf4b69:0x62ff7a4060555e56,86,51,21
0x1531ffee934f0bf5:0x59798540391e78ea,64,41,0
0x1532003abc719a77:0x2754d03addb7c2f8,82,42,12
0x153258bc13ebe91b:0xe8e094d783954445,88,58,2
0x15325c2710b9c797:0xc498281f01084bf9,108,83,0
0x15325d0936a6366d:0x904ec4d6b41ba88d,63,29,0
0x153268027ef3466b:0x15a7449369acb416,327,293,5
0x1532699c3089e05f:0x7755fad89f522953,117,59,9
0x1532f714a6623db3:0x75911275607bafbd,68,39,0
0x1533208dfb46adcb:0x7761db159b62366e,53,37,0
0x1533208e8c76a0c5:0xd349af5b9513657f,58,35,0
0x15332ef65fc0835d:0x334841d2016f8b64,248,157,36
0x3397b097ffc27669:0x9945c23f6f455060,68,51,9
0x406f894a91528e01:0xfaa67efb05b4d5c1,108,54,0
0x4076ffb5981eedbf:0x3d950ad82fd64b25,55,41,24
0x4cb29c154e71d8f3:0x125a4a0cd35adac8,128,43,0
0x52a564135eb23007:0x2eecd26a8239f115,1155,589,0
0x536286f59901e1e3:0x69cfe5415528d8f,64,44,0
0x54906954cf56161d:0x3c9c3cd672828880,76,58,0
0x54906daa24d0e5ff:0x93d7fe0b1d7f5372,60,31,0
0x54907c249c7e2c4d:0xee636876505e8778,68,55,62
0x5495561cfac63123:0x3cb5070de03dffc8,68,46,2
0x54aef72967aaaf89:0x29fe9ad3561d96b7,128,107,5
0x54c94aaf5e19a217:0x87af8bcbc42b4ca4,188,140,0
0x54c94ab0646da4e1:0xe738f20a9cc5cbed,55,26,0
0x54c94cbc993d594b:0x91d06e1f291c3642,194,134,37
0x54ca29b2bfb30699:0x3d53bb1d6d0b0d71,155,92,0
0x54cb85d6a549b93b:0xd5c44360bd54363c,179,112,0
0x54cb90b2ab8ac6a3:0x7b1854ae3e5857fe,83,44,0
0x54cb970b171097ff:0x2e3253cb8758811,77,46,0
0x54cb974cbfb75521:0x47daaabfbd2a9e59,78,45,2
0x54cb977215fdb773:0xa8189ecf8ad14096,195,127,0
0x54cb9796e2112817:0x597cf5d29a1b0c62,107,67,0
0x54cb9a00aaea4947:0xe794836074babc68,135,82,0
0x54cbaf403e3f24f9:0xe2e46859be35aedf,65,40,2
0x54cc89f45e0294d7:0x4fb99f5c813f0e38,95,76,0
